вече записани: 17 дни
RSS bulgaria: 21
RSS all: 0
RSS regional: 0
общо уникални статии: 430
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-25 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-25 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-25 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-24 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
  ✓ 2026-08-23 нац=18 загин=None ранени=26 | София леки=None тежки=None ранени=None
